Year,Team,Name,G,Min,Pts,PPG,FGM,FGA,FGP,FTM,FTA,FTP,3PM,3PA,3PP,REB,RPG,AST,APG,STL,BLK,TO,MPPS,OEPM,DEPM
1995,CHA,Robert Parish,74,1086,290,3.9,120,241,.498,50,71,.704,0,0,.000,303,4.1,29,0.4,21,54,50,0.2759,0.0903,0.1021
1995,CHA,Greg Sutton,18,190,62,3.4,20,50,.400,15,19,.789,7,21,.333,15,0.8,39,2.2,8,0,17,0.0483,0.0376,0.0069
1995,CHA,Rafael Addison,53,516,171,3.2,77,165,.467,17,22,.773,0,9,.000,90,1.7,30,0.6,9,9,27,0.1311,0.0581,0.0292
1995,CHA,Pete Myers,32,453,92,2.9,29,87,.333,31,46,.674,3,16,.188,67,2.1,48,1.5,20,6,25,0.1151,0.0523,0.0266
1995,CHA,Muggsy Bogues,6,77,14,2.3,6,16,.375,2,2,1.000,0,1,.000,7,1.2,19,3.2,2,0,6,0.0196,0.0134,0.0025
1995,CHA,Corey Beck,5,33,5,1.0,2,8,.250,1,2,.500,0,0,.000,7,1.4,5,1.0,1,0,4,0.0084,0.0034,0.0022
1995,CHA,Gerald Glass,5,15,5,1.0,2,5,.400,1,1,1.000,0,1,.000,2,0.4,0,0.0,1,0,0,0.0038,0.0015,0.0009
1995,CHA,Donald Hodge,2,2,0,0.0,0,0,.000,0,0,.000,0,0,.000,1,0.5,0,0.0,0,0,0,0.0005,0,0.0003
1995,CHA,Joe Wolf,1,18,0,0.0,0,1,.000,0,0,.000,0,0,.000,2,2.0,0,0.0,2,0,2,0.0046,-0.0005,0.0013
1995,CHI,Michael Jordan,82,3090,2491,30.4,916,1850,.495,548,657,.834,111,260,.427,543,6.6,352,4.3,180,42,197,0.7851,0.9233,0.2199
1995,CHI,Scottie Pippen,77,2825,1496,19.4,563,1216,.463,220,324,.679,150,401,.374,496,6.4,452,5.9,133,57,207,0.7177,0.6417,0.1948
1995,CHI,Toni Kukoc,81,2103,1065,13.1,386,787,.490,206,267,.772,87,216,.403,323,4.0,287,3.5,64,28,114,0.5343,0.458,0.1153
1995,CHI,Luc Longley,62,1641,564,9.1,242,502,.482,80,103,.777,0,0,.000,318,5.1,119,1.9,22,84,114,0.4169,0.2027,0.1158
1995,CHI,Steve Kerr,82,1919,688,8.4,244,482,.506,78,84,.929,122,237,.515,110,1.3,192,2.3,63,2,42,0.4876,0.2937,0.0526
1995,CHI,Ron Harper,80,1886,594,7.4,234,501,.467,98,139,.705,28,104,.269,213,2.7,208,2.6,105,32,73,0.4792,0.2762,0.1043
1995,CHI,Dennis Rodman,64,2088,351,5.5,146,304,.480,56,106,.528,3,27,.111,952,14.9,160,2.5,36,27,138,0.5305,0.1598,0.2642
1995,CHI,Bill Wennington,71,1065,376,5.3,169,343,.493,37,43,.860,1,1,1.000,174,2.5,46,0.6,21,16,37,0.2706,0.1218,0.0573
1995,CHI,Jack Haley,1,7,5,5.0,2,6,.333,1,2,.500,0,0,.000,2,2.0,0,0.0,0,0,1,0.0018,0.0013,0.0005
1995,CHI,Jud Buechler,74,740,278,3.8,112,242,.463,14,22,.636,40,90,.444,111,1.5,56,0.8,34,7,39,0.188,0.0963,0.0434
1995,CHI,Dickey Simpkins,60,685,216,3.6,77,160,.481,61,97,.629,1,1,1.000,156,2.6,38,0.6,9,8,56,0.174,0.0779,0.0456
1995,CHI,James Edwards,28,274,98,3.5,41,110,.373,16,26,.615,0,0,.000,40,1.4,11,0.4,1,8,21,0.0696,0.0299,0.0131
1995,CHI,Jason Caffey,57,545,182,3.2,71,162,.438,40,68,.588,0,1,.000,111,1.9,24,0.4,12,7,48,0.1385,0.0579,0.035
1995,CHI,Randy Brown,68,671,185,2.7,78,192,.406,28,46,.609,1,11,.091,66,1.0,73,1.1,57,12,31,0.1705,0.088,0.0423
1995,CHI,John Salley,17,191,36,2.1,12,35,.343,12,20,.600,0,0,.000,43,2.5,15,0.9,8,15,16,0.0485,0.0167,0.0187
1995,CLE,Terrell Brandon,75,2570,1449,19.3,510,1096,.465,338,381,.887,91,235,.387,248,3.3,487,6.5,132,33,142,0.6529,0.6963,0.1238
1995,CLE,Chris Mills,80,3060,1205,15.1,454,971,.468,218,263,.829,79,210,.376,443,5.5,188,2.4,73,52,121,0.7774,0.4382,0.1569
1995,CLE,Bobby Phills,72,2530,1051,14.6,386,826,.467,186,240,.775,93,211,.441,261,3.6,271,3.8,102,27,126,0.6428,0.4372,0.1138
1995,CLE,Danny Ferry,82,2680,1090,13.3,422,919,.459,103,134,.769,143,363,.394,309,3.8,191,2.3,57,37,122,0.6809,0.3813,0.112
1995,CLE,Dan Majerle,82,2367,872,10.6,303,748,.405,120,169,.710,146,414,.353,305,3.7,214,2.6,81,34,93,0.6014,0.3508,0.1192
1995,CLE,Tyrone Hill,44,929,341,7.8,130,254,.512,81,135,.600,0,0,.000,244,5.5,33,0.8,31,20,64,0.236,0.1098,0.0801
1995,CLE,Michael Cage,82,2631,490,6.0,220,396,.556,50,92,.543,0,1,.000,729,8.9,53,0.6,87,79,54,0.6684,0.1538,0.2434
1995,CLE,Bob Sura,79,1150,422,5.3,148,360,.411,99,141,.702,27,78,.346,135,1.7,233,2.9,56,21,115,0.2922,0.2364,0.0623
1995,CLE,Harold Miner,19,136,61,3.2,23,52,.442,13,13,1.000,2,10,.200,12,0.6,8,0.4,0,0,14,0.0346,0.0198,0.0031
1995,CLE,John Crotty,58,617,172,3.0,51,114,.447,62,72,.861,8,27,.296,54,0.9,102,1.8,22,6,51,0.1568,0.1048,0.024
1995,CLE,John Amaechi,28,357,77,2.8,29,70,.414,19,33,.576,0,0,.000,52,1.9,9,0.3,6,11,34,0.0907,0.0209,0.019
1995,CLE,Antonio Lang,41,367,116,2.8,41,77,.532,34,47,.723,0,2,.000,53,1.3,12,0.3,14,12,24,0.0932,0.0389,0.0226
1995,CLE,Donny Marshall,34,208,77,2.3,24,68,.353,22,35,.629,7,30,.233,26,0.8,7,0.2,8,2,7,0.0528,0.0274,0.0103
1995,CLE,Joe Courtney,23,200,38,1.7,15,35,.429,8,18,.444,0,0,.000,49,2.1,9,0.4,5,6,17,0.0508,0.0125,0.0163
1995,CLE,Darryl Johnson,11,28,12,1.1,5,12,.417,2,2,1.000,0,1,.000,2,0.2,1,0.1,0,0,1,0.0071,0.0039,0.0005
1995,DAL,Jamal Mashburn,18,669,422,23.4,145,383,.379,97,133,.729,35,102,.343,97,5.4,50,2.8,14,3,55,0.17,0.1465,0.0309
